Amount_Requested,Amount_Funded_By_Investors,Loan_Length,Debt_To_Income_Ratio,Home_Ownership,Monthly_Income,FICO_Range,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,Loan_Purpose_credit_card,Loan_Purpose_debt_consolidation,Loan_Purpose_major_purchase,Loan_Purpose_other
16800.0,16800.0,60.0,13.55,2,4000.0,662.0,12.0,12179.0,1.0,10.0,0,1,0,0
7500.0,4538.17,36.0,4.86,1,5000.0,752.0,10.0,8575.0,1.0,8.0,0,0,0,1
8000.0,8000.0,36.0,3.96,1,7750.0,662.0,9.0,8080.0,1.0,5.0,0,1,0,0
4025.0,4025.0,36.0,15.32,2,5000.0,702.0,12.0,15943.0,0.0,8.0,1,0,0,0
6500.0,6475.0,36.0,18.0,1,1500.0,787.0,5.0,2816.0,0.0,2.0,0,1,0,0
8000.0,7827.03,36.0,20.35,1,4000.0,677.0,7.0,2082.0,0.0,4.0,0,0,0,1
3750.0,3750.0,36.0,16.98,1,1650.0,677.0,6.0,8101.0,0.0,4.0,0,1,0,0
16000.0,16000.0,60.0,21.54,3,8903.25,742.0,18.0,18898.0,1.0,10.0,0,0,0,0
4000.0,4000.0,36.0,0.52,1,5416.67,757.0,4.0,929.0,0.0,1.0,0,0,1,0
25000.0,11696.88,36.0,5.52,2,8666.67,762.0,9.0,1900.0,3.0,10.0,0,0,1,0
12000.0,12000.0,36.0,21.99,2,5416.67,732.0,8.0,28146.0,0.0,10.0,0,0,0,0
2000.0,2000.0,36.0,8.01,1,5833.33,752.0,7.0,2031.0,0.0,0.5,0,1,0,0
3825.0,3825.0,36.0,24.68,1,2495.83,672.0,8.0,4560.0,1.0,4.0,0,1,0,0
4800.0,4800.0,36.0,0.0,1,4583.33,677.0,2.0,0.0,0.0,6.0,0,0,1,0
24250.0,24175.0,36.0,21.9,3,5000.0,742.0,15.0,39260.25,1.0,0.5,0,1,0,0
20000.0,19975.0,36.0,19.82,2,6750.0,687.0,14.0,21637.0,0.0,5.0,1,0,0,0
14400.0,14400.0,36.0,18.84,2,4166.67,662.0,7.0,10042.0,3.0,9.0,0,1,0,0
22000.0,21975.0,60.0,33.93,2,5083.33,672.0,14.0,31152.0,2.0,10.0,0,1,0,0
33125.0,31875.0,36.0,15.75,2,11833.325,692.0,21.0,39260.25,1.0,4.0,0,1,0,0
5600.0,5600.0,36.0,26.35,1,3833.33,667.0,19.0,16163.0,0.0,5.0,0,1,0,0
12000.0,12000.0,36.0,3.9,1,7083.33,672.0,7.0,6040.0,1.0,2.0,0,1,0,0
2500.0,2500.0,36.0,10.96,2,6166.67,732.0,14.0,24495.0,0.0,10.0,0,0,0,0
7000.0,7000.0,36.0,12.03,1,3400.0,692.0,8.0,6163.0,1.0,0.5,1,0,0,0
15775.0,15775.0,36.0,3.37,1,4000.0,712.0,11.0,4058.0,1.0,10.0,0,0,0,1
10000.0,10000.0,36.0,22.66,1,2083.33,717.0,8.0,12724.0,0.0,9.0,1,0,0,0
1600.0,1600.0,36.0,5.36,1,2427.0,702.0,5.0,7020.0,0.0,3.0,0,0,0,1
14000.0,14000.0,60.0,9.89,2,9000.0,762.0,17.0,23773.0,0.0,4.0,0,1,0,0
1000.0,1000.0,36.0,24.4,3,3000.0,667.0,5.0,3430.0,1.0,3.0,0,0,0,0
3000.0,3000.0,36.0,11.31,1,3500.0,737.0,9.0,0.0,2.0,3.0,0,0,1,0
8250.0,8205.63,36.0,24.45,2,3300.0,757.0,17.0,29576.0,2.0,8.0,1,0,0,0
12000.0,11975.0,60.0,13.91,2,7083.33,707.0,7.0,3923.0,2.0,7.0,0,0,0,0
5000.0,5000.0,36.0,17.22,3,4000.0,707.0,10.0,6023.0,0.0,10.0,0,1,0,0
4375.0,4375.0,36.0,9.09,1,2916.67,672.0,9.0,6944.0,2.0,6.0,1,0,0,0
13600.0,13600.0,60.0,12.85,1,5651.33,677.0,13.0,24383.0,0.0,10.0,1,0,0,0
6000.0,6000.0,36.0,7.64,2,5184.75,677.0,8.0,14422.0,0.0,2.0,0,1,0,0
